image,patch,SIFT,BRISK,ORB,AKAZE
SU_peb_ad1b1d04-f259-4def-a8c6-dd51c03dc24f.jpg,SU_peb,103,43,167,41
SU_peb_39bdc364-1d4c-42e0-a205-4d7e33021b51.jpg,SU_peb,124,52,228,46
SU_peb_18cd9154-f15d-4778-b200-8b655a20c8fc.jpg,SU_peb,116,48,205,41
SU_peb_a9f623cb-b324-4f7c-977f-c6a3f9756113.jpg,SU_peb,114,12,64,20
SU_peb_42cb1e88-3267-4ec7-a11d-ced665702d7b.jpg,SU_peb,1154,1059,1818,311
SU_peb_ebb1ee29-19bf-4c9b-9a00-1c6d11ad6492.jpg,SU_peb,106,43,155,43
SU_peb_5c2e045c-d750-482b-8497-a96e4814ed80.jpg,SU_peb,468,303,696,125
SU_peb_6da3a857-8a25-4dc0-a82c-2f70bfa49142.jpg,SU_peb,143,38,162,24
SU_peb_036a55eb-bf25-42d3-a379-fafcf9a09bf8.jpg,SU_peb,37,5,21,4
SU_peb_2313604b-1d6e-483b-8086-46e964ce73d1.jpg,SU_peb,234,90,290,68
SU_peb_ef4a7cb3-faca-4b68-af5a-dad3692caa6b.jpg,SU_peb,259,195,666,96
SU_peb_f867e1ee-609d-42ea-93ee-2a731b693d3e.jpg,SU_peb,347,162,518,94
SU_peb_931aace0-c6fc-4939-8cfb-1b18f51bf747.jpg,SU_peb,194,113,379,94
SU_peb_932e62e9-3aff-4cc8-8b1b-c16dbd45a3c5.jpg,SU_peb,146,31,130,28
SU_peb_01f70ebe-8d70-40f6-beab-98dc8b4031cd.jpg,SU_peb,70,35,200,19
SU_peb_9dcea996-632b-4edc-a5c3-46a36539378b.jpg,SU_peb,129,80,299,30
SU_peb_d07da8c5-cccd-435e-87b5-b9eabd50403a.jpg,SU_peb,800,530,1089,160
SU_peb_ef9d4c6b-31a9-4f34-825d-938737961c02.jpg,SU_peb,181,69,164,39
SU_peb_f5db0f69-d6c2-4c33-9ab5-0f94c0bb0bac.jpg,SU_peb,89,48,141,36
SU_peb_7c5e33ae-fd1e-44bc-8897-8f646fb57db2.jpg,SU_peb,200,110,470,87
SU_peb_c444074d-a946-4053-816e-2b60f81c7538.jpg,SU_peb,134,35,175,22
SU_peb_03035ef9-14d4-4283-bebd-2deffdc5e631.jpg,SU_peb,37,6,36,9
SU_peb_6584030d-9d68-46a5-9759-4bfc2341c74a.jpg,SU_peb,289,202,617,95
